"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","29-Years-Owned 1990 BMW K1 1000","https://bringatrailer.com/listing/1990-bmw-k1-1000/","Sold for $12,750 on 6/12/20","Location: Marco Island, Florida 34145","Chassis: WB1053503L6365167","42k Miles Shown","988cc DOHC Inline-Four","5-Speed Transmission","Enclosed Driveshaft","Red w/Yellow Graphics & Wheels","Dual-Circuit Cooling System","4-Piece Soft Luggage Set","Recent Service Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","No Reserve: 1972 Porsche 911T Targa 5-Speed","https://bringatrailer.com/listing/1972-porsche-911t-targa-13/","Sold for $78,000 on 6/12/20","Location: Blaine, Washington 98230","Chassis: 9112111217","53k Miles Shown","Injected 2.4L Flat-Six","Five-Speed Manual Transaxle","Metallic Blue over Black Vinyl","15"" Fuchs Wheels","Rebuilt Brake Calipers","Rebuilt Injection Pump","Owner's Manual","Recent Service Records","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","1989 Ford Bronco XLT 4×4","https://bringatrailer.com/listing/1989-ford-bronco-10/","Sold for $10,000 on 6/12/20","Location: Billings, Montana 59101","Chassis: 1FMEU15N9KLA41616","79k Miles Shown, TMU","5.0-Liter V8","Four-Speed Automatic Transmission","Red & White over Red Cloth","Removable Hard Top","Air Conditioning","Cruise Control","Power Windows & Locks","Aftermarket Dual Stereo","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 1970 MG MGB GT","https://bringatrailer.com/listing/1970-mg-mgb-gt-13/","Sold for $4,250 on 6/12/20","Location: Minneapolis, Minnesota 55409","Chassis: GHD5UA214722G","95k Miles Shown, TMU","Replacement 1.8-Liter Inline-Four","Four-Speed Manual with Overdrive","Pale Primrose","Black Vinyl","Limited Edition Wheels","1.6-Ratio Rocker Shaft","Dual-Muffler Straight-Through Exhaust","1988 Rebuild File","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2012 BMW 328i IMSA ST Race Car","https://bringatrailer.com/listing/2012-bmw-328i-imsa-st-race-car/","Sold for $36,000 on 6/12/20","Location: Denver, Colorado 80210","Chassis: WBA3A5C55CFJ89919","Total Mileage Unknown","Replacement Turbocharged 2.0L Inline-Four","6-Speed Manual Transmission","MHI Turbocharger","Motec Engine Management","Diffsonline Race Carrier LSD","MCS IMSA Coilovers","Teves Motorsport ABS","Carbon Fiber Trunk and Hood","Fire Suppression System","Spares Included","Checklists Included","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","2013 BMW M5 6-Speed","https://bringatrailer.com/listing/2013-bmw-m5-27/","Sold for $42,000 on 6/12/20","Location: Pearland, Texas 77584","Chassis: WBSFV9C55DC773860","37k Miles","Twin-Turbocharged 4.4-Liter V8","Six-Speed Manual Transmission","Monte Carlo Blue over Black Leather","Adaptive Xenon Headlamps","Glass Sunroof","Refinished 20"" Wheels","Heated M Multifunction Seats","Navigation","New Tires","Manufacturer's Literature","Recent Service Record","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","35-Years-Owned 1957 Fiat 1200 Turismo Veloce Trasformabile","https://bringatrailer.com/listing/1957-fiat-1200-turismo-veloce-trasformabile/","Sold for $27,750 on 6/12/20","Location: Sunnyvale, California 94087","Chassis: 103.115 002323","2007 Refurbishment","66k Miles Shown","1,221cc Inline Four","4-Speed Manual Gearbox","Rebuilt Engine and Gearbox","Repaint in Red","Tan/Brown Interior","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","1967 Chevrolet Corvette Convertible L71 427/435 4-Speed","https://bringatrailer.com/listing/1967-chevrolet-corvette-convertible-36/","Sold for $132,000 on 6/12/20","Location: Encinitas, California 92024","Chassis: 194677S101220","45k Miles Shown, TMU","427ci L71 V8","M21 Four-Speed Manual Transmission","Three Holley Two-Barrel Carburetors","4.11:1 Positraction Differential","Marina Blue Paint","Removable Hardtop","Black Soft Top","Stinger Hood","Side Exhaust","Power Disc Brakes","Factory Build Sheet","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1978 Volkswagen Bus Westfalia","https://bringatrailer.com/listing/1978-volkswagen-bus/","Sold for $16,500 on 6/12/20","Location: Allendale, Michigan 49401","Chassis: 2382038858","Westfalia Pop-Top Camper","80k Miles Shown, TMU","Fuel-Injected 2.0L Flat-Four","4-Speed Manual Transaxle","Green & White/Tan, Green & Plaid Interior","Bed Platform & Z-Bed","Sink, Refrigerator, Shore Power Outlet","Storage Cabinets","Recent Service Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2018 Porsche 911 Carrera T 7-Speed","https://bringatrailer.com/listing/2018-porsche-911-t-touring-4/","Sold for $91,000 on 6/12/20","Location: Los Altos, California 94024","Chassis: WP0AA2A94JS106399","4k Miles","Twin-Turbocharged 3.0L Flat-Six","Seven-Speed Manual Gearbox","White w/ 911T Side Stripes","Black Leather Interior","Racing Yellow Accents","LED Headlights & Tinted Taillights","Heated Adaptive Sport Seats Plus","BOSE Sound System","Lane Change Assist","Front Axle Lift","One-Year Service Performed","Window Sticker","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","1"
"","1934 Ford Five-Window Coupe","https://bringatrailer.com/listing/1934-ford-5-window-coupe-6/","Sold for $63,500 on 6/12/20","Location: Brookfield, Connecticut 06804","Chassis: 18569594","5-Window Rumble Seat Coupe","1,200 Miles Shown, TMU","5.3-Liter L33 V8","TH350 Three-Speed Automatic Transmission","Black over Red Leather","Super Bell Drilled I-Beam Front Axle","4-Link Rear w/Ford 9"" Diff","American Racing Torq Thrust Wheels","Stainless Steel Fuel Tank","Flowmaster Mufflers","Air Conditioning","Build Records/Photos","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1987 Mercedes-Benz 280GE Cabriolet 4-Speed","https://bringatrailer.com/listing/1987-mercedes-benz-280ge/","Sold for $36,500 on 6/12/20","Location: Gaithersburg, Maryland 20879","Chassis: WDB46021217064189","22k Miles Shown, TMU","2.8L Inline-Six","Four-Speed Manual Gearbox","Two-Speed Transfer Case","Refinished in Metallic Black","Black Soft Top","W463 Bodywork","Brush Guard","Heated Recaro Seats","Wood Trim","Lorinser Steering Wheel","Service Records","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","1962 Chevrolet Corvette 327/360 Fuelie 4-Speed","https://bringatrailer.com/listing/1962-chevrolet-corvette-327-360-fuelie-4-speed/","Bid to $95,000 on 6/12/20","Location: Santa Barbara, California 93101","Chassis: 20867S1017967","45k Miles Shown","Fuel-Injected 327ci V8","4-Speed Manual Transmission","1980s Restoration","Honduras Maroon Metallic","Fawn Interior","Removable Hardtop","Spinner Concourse Gold Spinner Winner","Multiple NCRS Top Flight Awards","Carlisle Concours Winner","History File","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","2013 Mini Cooper S JCW GP","https://bringatrailer.com/listing/2013-mini-john-cooper-works-gp-9/","Sold for $19,250 on 6/12/20","Location: Lansing, Michigan 48906","Chassis: WMWSU9C54DT384794","34k Miles","Turbocharged 1.6L Inline-Four","6-Speed Manual Transaxle","Thunder Grey Metallic","Black Leather and Alcantara","Heated Recaro Sport Seats","Brembo Front Brakes","17"" GP Wheels","Manic Stage 2 ECU Tune","Alta Cold Air Intake","Forge Front Mount Intercooler","Akrapovic 100cpi Downpipe","#20 of 2000 Worldwide JCW GP Models","Manufacturer's Literature","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","1"
"","2015 Ferrari California T","https://bringatrailer.com/listing/2015-ferrari-california-t-9/","Sold for $119,001 on 6/12/20","Location: Vero Beach, Florida 32963","Chassis: ZFF77XJA2F0209440","11k Miles Shown","Twin-Turbocharged 3.9L V8","Seven-Speed Dual-Clutch Transaxle","California Blue Paint","Tan Leather","SmartTOP Hardtop Controller","Fabspeed Tuned ECU","Rear Spoiler","Window Sticker","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","29-Years-Owned 1981 BMW R80G/S","https://bringatrailer.com/listing/1981-bmw-r80-g-s/","Bid to $7,000 on 6/12/20","Location: Bishop, California 93514","Chassis: WBM034807B6362023","97k Miles Shown","Air-Cooled 798cc Boxer Twin","Five-Speed Transmission","White w/ Blue Graphics","Russell Day-Long Touring Saddle","Rear Reynolds Rack & Bag Mounts","Hard Cases","Heated Grips","SuperTrapp Exhaust","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1964 Alfa Romeo Giulia Spider Project","https://bringatrailer.com/listing/1964-alfa-romeo-giulia-spider-4/","Sold for $26,500 on 6/12/20","Location: Rehoboth Beach, Delaware 19971","Chassis: AR377587","Non-Running Project","77k Miles Shown, TMU","1,600cc Twin-Cam Inline-Four","Removed 5-Speed Manual Transmission","Repainted in Dark Blue","Soft Top Frame Included","Spare & Removed Parts","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","1986 Porsche 911 Carrera Coupe","https://bringatrailer.com/listing/1986-porsche-911-carrera-40/","Sold for $44,500 on 6/12/20","Location: Bellevue, Washington 98004","Chassis: WP0AB091XGS120865","86k Miles Shown","3.2-Liter Flat-Six","5-Speed Manual Transmission","Grand Prix White","Burgundy Interior","Momo Steering Wheel","Clarion CD Player","White Fuchs-Style Wheels","Whale-Tail Spoiler","Partial Service Records","Factory Manuals","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1967 Volkswagen Beetle","https://bringatrailer.com/listing/1967-volkswagen-beetle-45/","Sold for $8,100 on 6/12/20","Location: Evergreen, Colorado 80439","Chassis: 117232977","33k Miles Shown, TMU","1,500cc Flat-Four","4-Speed Manual Transaxle","Repainted White Over Red Vinyl","Rubber Moldings Replaced","Bumper Overriders","Removable Glass Sunroof Panel","CD Player","Recent Tune-Up, Fluid Changes, & Valve Adjustment","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1949 Ford F-3 Pickup","https://bringatrailer.com/listing/1949-ford-f-3-pickup/","Sold for $36,000 on 6/12/20","Location: Portland, Oregon 97218","Chassis: 98RY223092","18k Miles Shown, TMU","239ci Flathead V8","4-Speed Manual Transmission","Rebuilt Mechanicals","Dana 61 Rear End with 3.54:1 Gearing","Stainless Steel Exhaust","Repaint in Meadow Green","Heater and Defrost","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0 Document Fee","","","","","","","","","","","","","1"
"","11k-Mile 2008 Ferrari F430 Spider 6-Speed","https://bringatrailer.com/listing/2008-ferrari-f430-spider-9/","Sold for $256,430 on 6/12/20","Location: Champlain, New York 12919","Chassis: ZFFEW59A180162682","11k Miles Shown","4.3-Liter V8","6-Speed Manual Transmission","Rosso Scuderia over Black Leather","Carbon Ceramic Brakes","Capristo Exhaust System","Replacement 19"" Wheels","Daytona Seats","Scuderia Ferrari Fender Shields","Carbon Fiber Trim","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","22k-Mile 1988 Ferrari Testarossa","https://bringatrailer.com/listing/1988-ferrari-testarossa-21/","Bid to $87,500 on 6/12/20","Location: Waltham, Massachusetts 02452","Chassis: ZFFSG17A1J0078413","22k Miles Shown","4.9-Liter Flat-Twelve","5-Speed Manual Gearbox","Limited-Slip Differential","Rosso Corsa over Black Connolly Leather","2016 Timing Belt Service","Maintenance Records","Window Sticker","Factory Books and Tools","Clean Carfax","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: Datsun 280ZX Go-Kart Project","https://bringatrailer.com/listing/1979-datsun-280zx-go-kart/","Sold for $1,250 on 6/12/20","Location: Minneapolis, Minnesota 55418","Chassis: 90120779","Four-Stroke 127cc Briggs & Stratton Single","Red-Finished Fiberglass Body","6"" Wheels w/ Cheng Shin Tires","Long-Term Ownership","Datsun 280ZX Promotional Go-Kart","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","","","1"
"","2001 Porsche 911 Carrera Cabriolet 6-Speed","https://bringatrailer.com/listing/2001-porsche-911-carrera-cabriolet-19/","Sold for $25,000 on 6/11/20","Location: La Mesa, California 91942","Chassis: WP0CA29911S651103","68k Miles","3.4-Liter Flat-Six","Six-Speed Manual Gearbox","Seal Grey Metallic w/ Black Soft Top","Black Leather Interior","Heated Seats","Automatic Climate Control","Xenon Headlights","18"" Sport Design Wheels","Alpine double-DIN w/ Apple CarPlay","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","1987 Alfa Romeo Spider Veloce","https://bringatrailer.com/listing/1987-alfa-romeo-spider-veloce-8/","Sold for $9,600 on 6/11/20","Location: Beverly Hills, California 90210","Chassis: ZARBA5582H1048600","114k Indicated Miles","2.0L Inline-Four","5-Speed Manual Gearbox","Refinished in Red","Black Leather Interior","Replacement Black Soft Top","Replacement Exhaust","Alpine Stereo","Body-Side Moldings","Manufacturer's Literature","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","Custom 1941 Ford Pickup","https://bringatrailer.com/listing/1941-ford-pickup-4/","Sold for $20,251 on 6/11/20","Location: Sacramento, California 95864","Chassis: BB186332813","8k Miles Shown, TMU","Ford Flathead V8","Dual 2-Barrel Carburetors","Edmunds Air-Cleaner Assemblies","3-Speed Manual Transmission","2-Speed Columbia Rear Axle","Red over Black","Sound System w/ Amplifier & Subwoofer","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","Original-Owner 1968 Chevrolet Corvette 327 4-Speed","https://bringatrailer.com/listing/1968-chevrolet-corvette-327-14/","Sold for $38,000 on 6/11/20","Location: Lincoln, California 95648","Chassis: 194378S425481","14k Miles Shown, TMU","Numbers-Matching 327ci V8","Four-Speed Manual Transmission","One Owner","Repainted Silver","Black Vinyl Interior","Removable T-Tops","15"" Rally Wheels","Service Records","Factory Manuals","Spare Parts","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","Modified 2001 Chevrolet Corvette Z06","https://bringatrailer.com/listing/2001-chevrolet-corvette-z06-16/","Sold for $20,250 on 6/11/20","Location: San Diego, California 92112","Chassis: 1G1YY12S315111400","72k Miles Indicated","5.7-Liter LS6 V8","6-Speed Manual Transaxle","Limited-Slip Differential","Speedway White","Red & Black Leather Interior","Cipher Auto Bucket Seats","MGW Short Shifter","Brian Tooley Camshaft","Wilson Manifolds Intake","Top Speed Pro-1 Headers","91-Octane Tune","Removed Factory Seats Included","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","1"
"","2007 BMW Z4 M Coupe","https://bringatrailer.com/listing/2007-bmw-z4-m-coupe-51/","Bid to $26,250 on 6/11/20","Location: Cooperstown, New York 13326","Chassis: 5UMDU93457LL93541","51k Miles","3.2-Liter S54 Inline-Six","Six-Speed Manual Gearbox","Limited-Slip Differential","Black Sapphire Metallic","Extended Black Nappa Leather","Heated and Power-Adjustable Sport Seats","Structural Carbon Leather Trim","Xenon Headlights","Car Cover","Two Keys","Service Records","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","Modified 1973 Porsche 911T 3.2L","https://bringatrailer.com/listing/1973-porsche-911t-54/","Sold for $77,000 on 6/11/20","Location: Franklin, Tennessee 37069","Chassis: 9113101688","31k Miles Shown, TMU","3.2L Flat-Six","5-Speed Manual Transaxle","Black Paint","Black Leatherette with Houndstooth Cloth","G-Force Racing Harnesses","Electric Air Conditioning","Bi-Xenon Headlamps","17"" Fuchs-Style Wheels","Porsche Certificate of Authenticity","Service Records","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: 1982 Honda CX500 Turbo","https://bringatrailer.com/listing/1982-honda-cx500-turbo-3/","Sold for $8,100 on 6/11/20","Location: Chicago, Illinois 60640","Chassis: JH2PC0308CM001337","6k Miles Shown","Turbocharged 497cc V-Twin","5-Speed Transmission w/Shaft Drive","Fuel Injection","Air-Adjustable Suspension","Gold Anodized Wheels","Triple Disc Brakes","Center Stand","Owner's Manual","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
